"ID","Number of days with 0 activities","Average Activities Per Session","Total Number of Logins","Time Test #1 A","Time Test #1 B","Time Test #2 Part #1 A","Time Test #2 Part #1 B","Time Test #2 Part #2 A","Time Test #2 Part #2 B","Time Test #3 A","Time Test #3 B","Time Test #4 A","Time Test #4 B","Time Test #5 A","Time Test #5 B","Time Test #6 A","Time Test #6 B","Time Test #7 A","Time Test #7 B","Average time taking tests in minutes"
"77","4","13.5","143","11.383333333333333","8.366666666666667","18.1","1423.1","10.45","-","-","-","-","-","-","-","-","-","-","-","294.28"
"78","13","12.428571428571429","130","9.0","-","16.216666666666665","-","19.1","-","-","-","-","-","-","-","-","-","-","-","14.77222222222222"
"79","7","7.785714285714286","90","16.15","-","20.65","-","13.866666666666667","-","-","-","-","-","-","-","-","-","-","-","16.88888888888889"
"80","1","17.607142857142858","188","28.116666666666667","18.416666666666668","33.233333333333334","29.1","14.683333333333334","9.716666666666667","-","-","-","-","-","-","-","-","-","-","22.211111111111112"
"81","7","9.0","94","25.383333333333333","-","32.166666666666664","-","22.9","-","-","-","-","-","-","-","-","-","-","-","26.816666666666663"
"82","4","12.142857142857142","126","18.6","12.683333333333334","30.933333333333334","-","-","-","-","-","-","-","-","-","-","-","-","-","20.73888888888889"
"83","13","8.392857142857142","76","35.81666666666667","19.633333333333333","27.5","25.9","15.633333333333333","-","-","-","-","-","-","-","-","-","-","-","24.896666666666665"
"84","12","11.071428571428571","121","43.583333333333336","25.516666666666666","57.95","21.966666666666665","-","-","-","-","-","-","-","-","-","-","-","-","37.25416666666666"
"85","7","10.5","93","8.3","6.716666666666667","16.766666666666666","14.95","8.733333333333333","6.766666666666667","-","-","-","-","-","-","-","-","-","-","10.372222222222222"
"86","15","8.714285714285714","107","-","27.933333333333334","-","51.833333333333336","-","-","-","-","-","-","-","-","-","-","-","-","39.88333333333333"
"87","17","7.0","66","26.416666666666668","-","51.016666666666666","-","-","-","-","-","-","-","-","-","-","-","-","-","38.71666666666667"
"88","8","10.214285714285714","86","18.8","17.1","22.633333333333333","16.05","9.916666666666666","18.6","-","-","-","-","-","-","-","-","-","-","17.183333333333337"
"89","14","10.892857142857142","86","-","11.316666666666666","-","1403.1833333333334","-","-","-","-","-","-","-","-","-","-","-","-","707.25"
"90","11","12.571428571428571","156","25.733333333333334","52.78333333333333","70.15","52.6","-","-","-","-","-","-","-","-","-","-","-","-","50.31666666666667"
"91","16","6.321428571428571","52","14.366666666666667","-","17.716666666666665","-","15.083333333333334","-","-","-","-","-","-","-","-","-","-","-","15.722222222222221"
"92","10","11.071428571428571","90","19.516666666666666","25.466666666666665","30.333333333333332","34.0","16.483333333333334","23.1","-","-","-","-","-","-","-","-","-","-","24.816666666666666"
"93","10","8.928571428571429","83","21.733333333333334","1426.3","33.28333333333333","23.666666666666668","25.966666666666665","26.0","-","-","-","-","-","-","-","-","-","-","259.4916666666667"
"94","7","12.75","115","26.95","-","44.88333333333333","25.733333333333334","18.65","-","-","-","-","-","-","-","-","-","-","-","29.054166666666667"
"95","9","20.142857142857142","97","20.266666666666666","79.68333333333334","-","159.71666666666667","-","-","-","-","-","-","-","-","-","-","-","-","86.55555555555556"
"96","12","10.178571428571429","83","21.033333333333335","24.7","43.96666666666667","28.716666666666665","35.96666666666667","28.416666666666668","-","-","-","-","-","-","-","-","-","-","30.466666666666665"
"97","7","9.5","108","16.083333333333332","11.483333333333333","27.75","-","13.85","-","-","-","-","-","-","-","-","-","-","-","17.291666666666664"
"98","7","10.892857142857142","109","19.233333333333334","20.65","43.11666666666667","-","-","-","-","-","-","-","-","-","-","-","-","-","27.666666666666668"
"99","11","8.071428571428571","92","21.283333333333335","16.2","31.45","28.75","-","-","-","-","-","-","-","-","-","-","-","-","24.420833333333334"
"100","8","9.392857142857142","108","20.666666666666668","9.733333333333333","23.016666666666666","19.716666666666665","14.066666666666666","-","-","-","-","-","-","-","-","-","-","-","17.439999999999998"
"101","12","8.75","61","20.816666666666666","-","-","25.333333333333332","19.05","13.966666666666667","-","-","-","-","-","-","-","-","-","-","19.791666666666668"
"102","8","12.25","115","17.716666666666665","10.166666666666666","31.216666666666665","22.316666666666666","15.516666666666667","-","-","-","-","-","-","-","-","-","-","-","19.386666666666663"
"103","9","14.25","128","42.43333333333333","47.75","45.083333333333336","-","26.216666666666665","-","-","-","-","-","-","-","-","-","-","-","40.37083333333334"
"104","9","11.785714285714286","110","24.883333333333333","-","37.6","-","24.866666666666667","-","-","-","-","-","-","-","-","-","-","-","29.116666666666664"
"105","4","7.464285714285714","101","11.316666666666666","42.45","32.85","23.333333333333332","22.216666666666665","9.4","-","-","-","-","-","-","-","-","-","-","23.594444444444445"
"106","15","10.107142857142858","87","20.083333333333332","15.5","37.65","23.316666666666666","17.516666666666666","18.9","-","-","-","-","-","-","-","-","-","-","22.161111111111108"
"107","1","23.321428571428573","205","88.8","-","95.35","70.33333333333333","59.75","-","-","-","-","-","-","-","-","-","-","-","78.55833333333332"
"108","10","14.464285714285714","164","27.283333333333335","53.06666666666667","58.86666666666667","39.333333333333336","-","45.11666666666667","-","-","-","-","-","-","-","-","-","-","44.733333333333334"
"109","9","10.964285714285714","94","9.833333333333334","7.166666666666667","19.516666666666666","12.383333333333333","16.283333333333335","8.233333333333333","-","-","-","-","-","-","-","-","-","-","12.236111111111112"
"110","13","8.107142857142858","72","36.083333333333336","26.45","50.583333333333336","-","30.883333333333333","-","-","-","-","-","-","-","-","-","-","-","36.0"
"111","11","9.428571428571429","72","16.633333333333333","11.966666666666667","18.733333333333334","18.166666666666668","10.566666666666666","9.433333333333334","-","-","-","-","-","-","-","-","-","-","14.25"
