"ID","Number of days with 0 activities","Average Activities Per Session","Total Number of Logins","Time Test 1A","Time Test 1B","Time Test 2 Part 1A","Time Test 2 Part 1B","Time Test 2 Part 2A","Time Test 2 Part 2B","Time Test 3A","Time Test 3B","Time Test 4A","Time Test 4B","Time Test 5A","Time Test 5B","Time Test 6A","Time Test 6B","Time Test 7A","Time Test 7B","Average time taking tests in minutes",Grade,Above Average
"39","22","8.446428298950195","136","18.6","15.833333333333334","30.866666666666667","27.5","21.083333333333332","13.25","32.03333333333333","41.016666666666666","24.733333333333334","40.56666666666667","18.716666666666665","29.683333333333334","0","0","0","0","19.617708333333333",982.88,Y
"40","23","6.357142925262451","65","13.533333333333333","10.666666666666666","22.383333333333333","15.483333333333333","13.133333333333333","0","16.95","19.666666666666668","17.666666666666668","0","17.216666666666665","21.583333333333332","0","0","0","0","10.517708333333333",942.49,Y
"41","14","14.107142448425293","157","19.966666666666665","0","32.75","26.066666666666666","23.583333333333332","13.75","18.7","16.733333333333334","17.833333333333332","0","13.833333333333334","0","0","0","0","0","11.451041666666669",1038.79,Y
"42","33","6.839285850524902","52","36.083333333333336","24.683333333333334","63.21666666666667","0","53.81666666666667","0","84.41666666666667","41.233333333333334","95.56666666666666","62.93333333333333","39.016666666666666","40.78333333333333","0","0","0","0","33.859375",885.93,N
"43","34","6.714285850524902","55","13.683333333333334","14.3","24.133333333333333","20.216666666666665","13.383333333333333","0","29.433333333333334","0","16.2","0","18.983333333333334","0","0","0","0","0","9.395833333333332",716.77,N
"44","27","9.232142448425293","89","20.366666666666667","0","30.183333333333334","0","15.85","0","19.666666666666668","16.733333333333334","18.766666666666666","0","14.066666666666666","0","0","0","0","0","8.477083333333333",999.63,Y
"45","17","13.803571701049805","156","49.733333333333334","19.833333333333332","63.81666666666667","64.35","47.46666666666667","53.85","90.73333333333333","77.81666666666666","96.0","104.21666666666667","0","0","0","0","0","0","41.73854166666667",852.59,N
"46","14","10.821428298950195","148","27.483333333333334","30.866666666666667","42.15","39.53333333333333","41.13333333333333","39.43333333333333","73.05","0","76.93333333333334","0","27.283333333333335","0","0","0","0","0","24.866666666666667",941.21,Y
"47","17","14.125","138","21.283333333333335","13.866666666666667","35.3","60.05","30.233333333333334","22.766666666666666","46.28333333333333","43.06666666666667","68.01666666666667","32.9","0","38.71666666666667","0","0","0","0","25.780208333333334",998.81,Y
"48","18","8.714285850524902","88","12.15","0","21.916666666666668","21.166666666666668","15.316666666666666","0","18.216666666666665","0","15.0","20.65","10.516666666666667","0","0","0","0","0","8.433333333333334",903.52,N
"49","20","8.267857551574707","93","45.88333333333333","31.683333333333334","72.16666666666667","37.88333333333333","73.33333333333333","38.53333333333333","1352.2166666666667","68.78333333333333","88.58333333333333","30.966666666666665","0","0","0","0","0","0","115.00208333333333",954.8,Y
"50","24","7.410714149475098","112","43.7","27.883333333333333","37.68333333333333","0","32.96666666666667","1424.4666666666667","48.35","1411.8166666666666","1391.2333333333333","59.4","0","0","0","0","0","0","279.84375",866.92,N
"51","18","9.214285850524902","121","15.066666666666666","14.716666666666667","19.583333333333332","18.45","10.033333333333333","10.383333333333333","26.25","20.616666666666667","17.516666666666666","1420.4833333333333","0","0","0","0","0","0","98.31875",947.33,Y
"52","35","6.6964287757873535","70","33.38333333333333","17.983333333333334","41.38333333333333","44.06666666666667","38.55","0","62.733333333333334","0","60.03333333333333","59.0","0","0","0","0","0","0","22.320833333333333",905.75,N
"53","9","11.714285850524902","137","19.15","24.6","26.4","30.083333333333332","30.9","20.566666666666666","33.8","26.783333333333335","25.733333333333334","0","23.1","29.333333333333332","0","0","0","0","18.153125",886.99,N
"54","14","10.482142448425293","158","25.95","15.1","1329.8","23.066666666666666","31.9","0","1377.9833333333333","0","36.81666666666667","0","0","0","0","0","0","0","177.53854166666667",891.73,N
"55","3","16.214284896850586","183","45.36666666666667","63.1","1391.2166666666667","65.81666666666666","33.233333333333334","21.05","1391.25","60.583333333333336","62.95","0","73.28333333333333","0","0","0","0","0","200.490625",783.27,N
"56","23","8.017857551574707","94","18.533333333333335","0","29.8","0","18.35","13.85","34.28333333333333","0","31.433333333333334","0","20.3","0","0","0","0","0","10.409375",992.19,Y
"57","17","10.732142448425293","103","56.81666666666667","52.4","87.73333333333333","75.45","48.6","33.1","89.48333333333333","60.55","67.01666666666667","0","57.96666666666667","57.483333333333334","0","0","0","0","42.91250000000001",915.02,N
"58","19","12.5","122","36.75","0","37.03333333333333","0","28.083333333333332","0","1390.3833333333334","0","35.05","0","0","0","0","0","0","0","95.45625",932.62,Y
"59","20","9.339285850524902","94","18.35","13.7","28.6","31.933333333333334","15.716666666666667","0","26.55","26.133333333333333","30.65","44.78333333333333","0","0","0","0","0","0","14.776041666666666",902.48,N
"60","16","7.732142925262451","88","29.1","17.083333333333332","40.833333333333336","0","32.88333333333333","0","49.25","29.1","51.2","49.13333333333333","0","0","0","0","0","0","18.661458333333332",902.86,N
"61","7","16.25","198","22.266666666666666","0","33.96666666666667","0","14.733333333333333","15.333333333333334","23.833333333333332","27.966666666666665","43.78333333333333","38.28333333333333","26.9","0","0","0","0","0","15.441666666666666",904.05,N
"62","20","10.017857551574707","99","28.283333333333335","17.933333333333334","50.266666666666666","30.516666666666666","44.1","23.3","58.85","53.53333333333333","64.43333333333334","44.666666666666664","53.0","0","0","0","0","0","29.305208333333333",937.74,Y
"63","29","7.625","106","16.566666666666666","18.133333333333333","31.733333333333334","23.583333333333332","17.166666666666668","0","31.5","23.083333333333332","31.283333333333335","28.45","0","0","0","0","0","0","13.84375",841.86,N
"64","9","13.928571701049805","182","81.56666666666666","0","93.51666666666667","0","93.26666666666667","0","97.73333333333333","105.4","84.78333333333333","0","48.96666666666667","0","0","0","0","0","37.827083333333334",911.74,N
"65","15","12.053571701049805","119","25.266666666666666","19.6","34.65","34.166666666666664","24.966666666666665","0","25.4","21.95","25.7","0","0","0","0","0","0","0","13.23125",879.47,N
"66","27","8.571428298950195","90","0","51.1","0","41.1","0","28.883333333333333","0","45.833333333333336","0","66.38333333333334","0","0","0","0","0","0","14.58125",824.86,N
"67","27","7.089285850524902","82","38.266666666666666","0","48.88333333333333","0","44.516666666666666","0","54.583333333333336","0","46.2","0","23.6","0","0","0","0","0","16.003125000000004",1008.17,Y
"68","24","6.75","90","17.1","17.333333333333332","30.083333333333332","19.866666666666667","10.783333333333333","21.5","21.116666666666667","1419.0333333333333","16.783333333333335","19.183333333333334","21.866666666666667","18.266666666666666","0","0","0","0","102.05729166666666",901.44,N
