ID,num_logins,days_no_activities,act_per_day,num_online_meetings,avg_due,avg_time_test, ReviewedActivities, StudyingSupplementalMaterialActivities, TotalStudyGuideMaterials,Average number of activites accessed before each test,Procedures Quiz,Surveys,CyberRat Assignments,Unit Discussions paticipation,Fluency Drills paticipation,Crossword paticipation,Above Average
33,39,22,7.904761791,0,1.5,23.55416667,27,36,9,30,1,4,0,0,0,0,Y
34,94,12,15.73809528,4,1.125,30.63333333,39,45,24,53,4,5,0,6,3,3,N
35,37,24,6.142857075,3,2.25,22.7875,24,35,9,42,2,4,0,2,0,0,N
36,48,13,8.476190567,1,0.6,17.52666667,14,3,17,55,3,8,6,8,5,4,N
37,30,23,6.214285851,9,0.5,26.33,22,21,35,66,3,6,15,22,5,2,N
38,57,24,8.547618866,4,-0.428571429,35.51944444,18,1,7,54,2,4,5,8,2,1,N
39,57,18,7.952381134,3,0.875,25.69375,25,18,51,46,2,4,2,19,6,1,Y
40,39,19,6.523809433,0,2.142857143,16.94761905,17,0,39,85,2,3,14,11,18,4,Y
41,92,9,14.69047642,5,3.285714286,22.68095238,21,26,25,36,2,3,0,1,0,0,Y
42,25,24,7.285714149,9,1.166666667,122.2222222,23,14,61,48,3,7,2,3,5,2,N
43,24,26,7.285714149,1,0.333333333,19.5,23,30,34,27,3,4,0,2,1,0,N
44,53,19,9.928571701,2,1,28.1,17,21,16,46,1,3,2,1,4,2,Y
45,62,17,12.78571415,4,0.125,66.85416667,38,47,60,45,3,4,1,2,1,1,N
46,79,10,10.5,4,0.571428571,43.91190476,18,0,49,39,3,4,1,2,0,0,Y
47,68,11,15.04761887,6,0.625,34.77291667,16,3,23,35,2,5,1,4,0,0,Y
48,51,11,9.142857552,3,3.2,18.26,19,6,32,74,2,3,6,40,5,5,N
49,52,11,9.619047165,3,1.875,216.0625,13,1,25,39,3,5,6,5,1,1,Y
50,54,17,8.380952835,5,-0.125,431.6809524,17,15,35,44,2,4,2,2,3,0,N
51,71,14,9.833333015,10,0,17.45625,17,2,34,54,3,5,6,17,9,4,Y
52,33,26,6.761904716,1,2.142857143,43.21388889,20,4,22,70,2,4,10,1,9,5,N
53,68,8,11.76190472,4,0.875,28.48125,20,1,18,54,3,4,11,2,3,2,N
54,81,10,10.9285717,1,0.333333333,468.1166667,21,17,69,79,4,5,31,19,6,2,N
55,107,3,18.0714283,12,1.25,384.30625,19,6,24,48,3,5,5,2,8,1,N
56,48,17,8.571428299,0,0.166666667,23.31666667,16,10,21,53,3,4,1,7,0,1,Y
57,54,13,10.85714245,13,1.75,78.29791667,15,6,28,63,4,4,7,8,2,0,N
58,63,16,13.38095284,5,2.5,374.5958333,30,24,17,48,0,5,1,5,5,1,Y
59,54,15,10.16666698,4,0.857142857,23.3452381,25,17,56,55,3,4,5,8,0,0,N
60,43,13,7.904761791,6,0.333333333,33.39166667,26,4,49,41,2,4,0,9,0,1,N
61,100,6,16.5,7,2.428571429,91.625,36,19,49,57,0,5,6,22,6,1,N
62,56,14,10.9285717,0,0.875,38.59583333,22,8,45,57,5,5,6,15,2,1,Y
63,58,21,8.214285851,3,0.857142857,23.50952381,19,2,46,93,2,3,23,24,10,4,N
64,100,7,15.35714245,5,-3.428571429,95.19333333,19,4,44,46,3,5,11,9,3,2,N
65,61,14,12.28571415,4,-0.142857143,27.40952381,27,9,35,57,3,4,11,28,2,0,N
66,39,21,7.952381134,5,-3.166666667,42.4,17,5,31,75,2,6,0,14,12,1,N
67,48,20,7.214285851,8,3.5,47.4625,16,12,9,57,2,3,11,20,5,1,Y
68,44,19,6.904761791,4,2.5,196.3979167,22,22,30,84,2,7,2,23,24,8,N
69,83,6,12.80952358,4,3.5,248.1666667,22,19,64,44,2,2,0,1,1,0,Y
70,49,11,7.047618866,0,1,20.69,26,4,52,79,2,9,51,27,10,5,Y
71,103,4,14.73809528,0,1.5,25.84166667,32,35,75,56,5,4,0,11,5,1,Y
72,56,10,7.714285851,0,1,28.87916667,19,15,33,47,2,3,0,0,1,0,Y
73,60,8,9.880952835,4,-1.5,29.27083333,26,12,31,77,5,8,1,7,5,1,N
74,39,18,7.309523582,7,0.5,31.425,25,43,61,71,1,7,1,5,6,0,N
75,47,19,9.785714149,0,1.666666667,37.93611111,21,23,28,30,2,4,6,2,2,0,Y
76,53,14,8.571428299,7,3.75,11.9,48,84,36,39,3,6,0,1,1,1,Y
77,59,24,7.095238209,3,-4.8,38.82222222,20,4,34,38,3,3,0,2,2,0,N
78,29,29,5.309523582,0,0.25,32.64166667,24,42,48,57,2,3,10,67,0,2,N
79,45,17,8.714285851,5,1.75,18.93541667,20,23,45,58,2,6,5,9,3,2,Y
80,74,12,12.5714283,1,0.25,44.4875,25,14,49,37,3,4,0,1,0,0,N
81,27,26,5.214285851,0,2,18.24166667,18,2,34,79,4,7,9,31,11,2,N
82,50,17,9.380952835,3,1.5,25.29791667,15,28,78,42,3,2,3,3,0,0,N
83,42,18,7.857142925,1,2.5,369.5041667,25,8,72,44,2,4,0,3,4,3,Y
84,56,11,10.80952358,0,1,31.06111111,22,7,39,42,2,2,0,0,7,2,Y
85,67,12,17.54761887,6,-3.714285714,82.55833333,16,4,30,57,2,6,0,11,5,3,N
86,38,21,8.238095284,2,2.25,32.6,18,1,28,47,3,3,0,2,4,1,N
87,59,12,8.857142448,4,2.2,19.23666667,15,19,65,35,7,8,0,8,0,2,Y
88,60,11,9.619047165,0,0,29.9,20,23,45,28,4,3,1,3,8,1,N
89,42,17,8.119047165,2,0.125,24.2875,14,1,40,46,7,6,12,12,2,1,Y
90,38,23,6.428571224,5,0.8,22.59333333,33,41,41,43,4,4,0,6,1,0,Y
91,58,11,10.69047642,0,0.285714286,24.89761905,30,23,55,66,2,4,1,7,7,6,Y
92,59,15,12.45238113,2,-1.142857143,45.34666667,15,1,14,31,2,2,1,0,0,0,N
93,67,13,11.4285717,2,2.8,33.07083333,23,13,43,51,3,4,2,8,2,2,Y
94,50,10,6.404761791,3,1.125,24.6875,24,13,14,43,2,4,0,1,0,0,N
95,37,23,9.428571701,4,0.625,25.28333333,21,18,37,60,2,7,9,32,4,4,N
96,101,2,19.8571434,8,1.714285714,84.575,20,4,33,104,2,7,18,68,21,6,Y
97,94,16,12.40476227,2,0.125,48.98541667,13,2,25,46,2,6,2,8,3,2,N
98,45,18,9.523809433,2,3.5,14.59375,18,9,4,47,2,3,1,24,0,1,Y
99,32,24,6.571428776,1,2,37.80277778,21,6,22,53,2,5,5,11,2,2,N
100,39,30,7.476190567,3,0,16.15833333,13,3,31,43,2,4,0,0,1,0,N
101,67,8,10.80952358,6,3.75,24.26458333,21,15,16,46,2,3,0,3,0,1,Y
102,54,22,8.428571701,4,0.333333333,284.9333333,29,17,68,39,2,4,3,24,0,0,N
103,51,25,7.642857075,6,0.2,23.00416667,14,0,22,58,3,4,12,17,7,1,Y
104,67,12,10.83333302,4,1.25,59.18958333,19,3,41,69,4,5,2,17,6,8,N
105,0,62,1.285714269,0,0,0,18,2,53,57,2,3,3,10,6,4,N
106,56,14,10.85714245,12,3.375,37.56666667,21,19,38,35,1,2,0,1,1,0,Y
107,26,27,7.714285851,1,2.75,19.77916667,31,58,51,52,2,5,4,5,5,0,Y
108,33,33,4.857142925,8,0,0,20,5,31,104,2,4,9,13,14,10,N
109,39,25,7.5,7,-0.285714286,288.6222222,15,1,45,68,3,5,0,7,4,2,N
110,86,8,13.4285717,5,1.857142857,76.67142857,17,6,45,50,2,5,6,2,10,3,Y
111,63,14,10.28571415,5,2.75,19.09375,23,2,38,39,3,4,0,7,4,1,Y
