"ID","Number of days with 0 activities","Average Activities Per Session","Total Number of Logins","Time Test 1A","Time Test 1B","Time Test 2 Part 1A","Time Test 2 Part 1B","Time Test 2 Part 2A","Time Test 2 Part 2B","Time Test 3A","Time Test 3B","Time Test 4A","Time Test 4B","Time Test 5A","Time Test 5B","Time Test 6A","Time Test 6B","Time Test 7A","Time Test 7B","Average time taking tests in minutes",Grade,Above Average
"60","30","7.534090995788574","88","29.1","17.083333333333332","40.833333333333336","0","32.88333333333333","0","49.25","29.1","51.2","49.13333333333333","29.616666666666667","31.866666666666667","18.966666666666665","0","28.283333333333335","0","25.457291666666666",902.86,N
"61","19","13.704545021057129","198","22.266666666666666","0","33.96666666666667","0","14.733333333333333","15.333333333333334","23.833333333333332","27.966666666666665","43.78333333333333","38.28333333333333","26.9","1414.9833333333333","19.566666666666666","17.8","35.68333333333333","31.083333333333332","110.38645833333332",904.05,N
"62","37","9.215909004211426","99","28.283333333333335","17.933333333333334","50.266666666666666","30.516666666666666","44.1","23.3","58.85","53.53333333333333","64.43333333333334","44.666666666666664","53.0","43.483333333333334","21.1","14.533333333333333","61.86666666666667","24.866666666666667","39.670833333333334",937.74,Y
"63","47","7.295454502105713","106","16.566666666666666","18.133333333333333","31.733333333333334","23.583333333333332","17.166666666666668","0","31.5","23.083333333333332","31.283333333333335","28.45","14.433333333333334","18.283333333333335","9.1","9.15","21.466666666666665","28.633333333333333","20.160416666666663",841.86,N
"64","21","12.272727012634277","182","81.56666666666666","0","93.51666666666667","0","93.26666666666667","0","97.73333333333333","105.4","84.78333333333333","0","48.96666666666667","0","31.95","0","98.61666666666666","0","45.987500000000004",911.74,N
"65","30","11.295454978942871","119","25.266666666666666","19.6","34.65","34.166666666666664","24.966666666666665","0","25.4","21.95","25.7","0","13.85","1430.7666666666667","10.133333333333333","12.55","24.716666666666665","0","106.48229166666667",879.47,N
"66","46","8.090909004211426","90","0","51.1","0","41.1","0","28.883333333333333","0","45.833333333333336","0","66.38333333333334","20.366666666666667","54.78333333333333","21.716666666666665","9.766666666666667","31.966666666666665","31.583333333333332","25.21770833333333",824.86,N
"67","51","5.431818008422852","82","38.266666666666666","0","48.88333333333333","0","44.516666666666666","0","54.583333333333336","0","46.2","0","23.6","0","12.65","0","26.983333333333334","0","18.480208333333337",1008.17,Y
"68","41","5.659090995788574","90","17.1","17.333333333333332","30.083333333333332","19.866666666666667","10.783333333333333","21.5","21.116666666666667","1419.0333333333333","16.783333333333335","19.183333333333334","21.866666666666667","18.266666666666666","8.7","4.8","20.416666666666668","13.15","104.99895833333333",901.44,N
"69","21","10.545454978942871","143","11.383333333333333","8.366666666666667","18.1","1423.1","10.45","0","16.0","0","16.333333333333332","16.116666666666667","10.816666666666666","14.85","5.616666666666666","4.266666666666667","15.933333333333334","15.783333333333333","99.19479166666663",1013.72,Y
"70","32","5.8977274894714355","90","16.15","0","20.65","0","13.866666666666667","0","30.2","21.866666666666667","18.683333333333334","0","13.333333333333334","0","6.5","0","14.133333333333333","0","9.711458333333333",953.25,Y
