"ID","Number of days with 0 activities","Average Activities Per Session","Total Number of Logins","Time Test #1 A","Time Test #1 B","Time Test #2 Part #1 A","Time Test #2 Part #1 B","Time Test #2 Part #2 A","Time Test #2 Part #2 B","Time Test #3 A","Time Test #3 B","Time Test #4 A","Time Test #4 B","Time Test #5 A","Time Test #5 B","Time Test #6 A","Time Test #6 B","Time Test #7 A","Time Test #7 B","Average time taking tests in minutes"
"91","3","16.428571701049805","115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"92","3","18.0","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"93","3","18.14285659790039","110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"94","3","6.4285712242126465","101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"95","7","0.0","87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"96","1","28.714284896850586","205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"97","1","32.57143020629883","164","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"98","1","18.85714340209961","94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"99","3","11.428571701049805","72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"100","3","10.142857551574707","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"101","2","17.571428298950195","126","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"102","6","12.857142448425293","124","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"103","5","14.428571701049805","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"104","1","19.428571701049805","142","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"105","62","1.2857142686843872","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"106","2","17.285715103149414","121","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"107","3","14.285714149475098","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"108","7","0.0","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"109","6","6.0","93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"110","1","22.285715103149414","154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
"111","4","10.0","122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NaN"
