"ID","Number of days with 0 activities","Average Activities Per Session","Total Number of Logins","Time Test 1A","Time Test 1B","Time Test 2 Part 1A","Time Test 2 Part 1B","Time Test 2 Part 2A","Time Test 2 Part 2B","Time Test 3A","Time Test 3B","Time Test 4A","Time Test 4B","Time Test 5A","Time Test 5B","Time Test 6A","Time Test 6B","Time Test 7A","Time Test 7B","Average time taking tests in minutes"
"18","24","6.690476417541504","65","17.433333333333334","16.7","40.516666666666666","0","21.133333333333333","18.766666666666666","33.2","0","0","0","0","0","0","0","0","0","24.625"
"19","12","13.190476417541504","124","32.083333333333336","0","25.183333333333334","0","26.133333333333333","0","34.18333333333333","0","0","0","0","0","0","0","0","0","29.395833333333336"
"20","16","8.5","75","24.3","13.716666666666667","28.3","0","19.15","0","39.833333333333336","0","0","0","0","0","0","0","0","0","25.060000000000002"
"21","26","9.523809432983398","80","20.35","25.133333333333333","29.383333333333333","36.516666666666666","36.666666666666664","18.75","26.45","1415.7666666666667","0","0","0","0","0","0","0","0","201.12708333333333"
"22","15","8.404762268066406","96","14.683333333333334","32.38333333333333","26.45","17.783333333333335","16.0","7.283333333333333","15.716666666666667","23.183333333333334","0","0","0","0","0","0","0","0","19.185416666666665"
"23","10","10.809523582458496","99","20.233333333333334","9.85","23.766666666666666","20.4","14.75","1428.3666666666666","25.983333333333334","38.7","0","0","0","0","0","0","0","0","197.75625"
"24","22","10.547618865966797","65","17.95","13.5","29.466666666666665","29.016666666666666","23.966666666666665","0","28.0","52.75","0","0","0","0","0","0","0","0","27.807142857142857"
"25","9","15.071428298950195","135","15.716666666666667","25.65","37.8","23.066666666666666","25.55","0","46.46666666666667","47.78333333333333","0","0","0","0","0","0","0","0","31.71904761904762"
"26","25","5.952381134033203","93","0","1413.8666666666666","0","73.01666666666667","0","18.05","0","0","0","0","0","0","0","0","0","0","501.6444444444444"
"27","12","12.880952835083008","142","66.61666666666666","0","119.9","76.7","90.06666666666666","0","73.2","0","0","0","0","0","0","0","0","0","85.29666666666665"
"28","25","5.214285850524902","52","27.8","27.016666666666666","57.016666666666666","63.21666666666667","43.3","19.416666666666668","53.78333333333333","61.61666666666667","0","0","0","0","0","0","0","0","44.145833333333336"
"29","7","11.619047164916992","142","22.9","34.083333333333336","44.11666666666667","50.7","35.38333333333333","28.366666666666667","54.65","0","0","0","0","0","0","0","0","0","38.6"
"30","13","10.095237731933594","124","33.8","25.866666666666667","50.38333333333333","45.5","28.1","0","52.13333333333333","62.15","0","0","0","0","0","0","0","0","42.56190476190476"
"31","17","12.523809432983398","78","14.066666666666666","9.183333333333334","18.083333333333332","17.883333333333333","9.566666666666666","0","26.85","20.583333333333332","0","0","0","0","0","0","0","0","16.60238095238095"
"32","8","11.0","113","20.9","13.65","22.566666666666666","22.25","22.783333333333335","0","34.416666666666664","43.0","0","0","0","0","0","0","0","0","25.652380952380952"
"33","22","7.904761791229248","76","26.866666666666667","0","28.45","0","11.466666666666667","0","25.733333333333334","0","0","0","0","0","0","0","0","0","23.129166666666666"
"34","12","15.7380952835083","175","40.13333333333333","16.716666666666665","38.833333333333336","33.233333333333334","22.8","19.766666666666666","35.9","34.56666666666667","0","0","0","0","0","0","0","0","30.243750000000002"
"35","24","6.142857074737549","68","18.116666666666667","0","28.85","0","17.883333333333333","0","25.166666666666668","0","0","0","0","0","0","0","0","0","22.504166666666666"
"36","13","8.476190567016602","78","11.533333333333333","0","20.2","0","15.0","16.466666666666665","19.766666666666666","0","0","0","0","0","0","0","0","0","16.593333333333334"
"37","23","6.214285850524902","71","27.416666666666668","0","46.81666666666667","24.916666666666668","28.45","1.1666666666666667","0","0","0","0","0","0","0","0","0","0","25.753333333333337"
"38","24","8.547618865966797","119","13.333333333333334","11.816666666666666","0","1408.2166666666667","0","28.233333333333334","29.55","20.85","0","0","0","0","0","0","0","0","252.0"
"39","18","7.952381134033203","136","18.6","15.833333333333334","30.866666666666667","27.5","21.083333333333332","13.25","32.03333333333333","41.016666666666666","0","0","0","0","0","0","0","0","25.022916666666667"
"40","19","6.523809432983398","65","13.533333333333333","10.666666666666666","22.383333333333333","15.483333333333333","13.133333333333333","0","16.95","19.666666666666668","0","0","0","0","0","0","0","0","15.973809523809523"
"41","9","14.690476417541504","157","19.966666666666665","0","32.75","26.066666666666666","23.583333333333332","13.75","18.7","16.733333333333334","0","0","0","0","0","0","0","0","21.650000000000002"
"42","24","7.285714149475098","52","36.083333333333336","24.683333333333334","63.21666666666667","0","53.81666666666667","0","84.41666666666667","41.233333333333334","0","0","0","0","0","0","0","0","50.57500000000001"
"43","26","7.285714149475098","55","13.683333333333334","14.3","24.133333333333333","20.216666666666665","13.383333333333333","0","29.433333333333334","0","0","0","0","0","0","0","0","0","19.191666666666666"
"44","19","9.928571701049805","89","20.366666666666667","0","30.183333333333334","0","15.85","0","19.666666666666668","16.733333333333334","0","0","0","0","0","0","0","0","20.56"
"45","17","12.785714149475098","156","49.733333333333334","19.833333333333332","63.81666666666667","64.35","47.46666666666667","53.85","90.73333333333333","77.81666666666666","0","0","0","0","0","0","0","0","58.45"
"46","10","10.5","148","27.483333333333334","30.866666666666667","42.15","39.53333333333333","41.13333333333333","39.43333333333333","73.05","0","0","0","0","0","0","0","0","0","41.949999999999996"
"47","11","15.047618865966797","138","21.283333333333335","13.866666666666667","35.3","60.05","30.233333333333334","22.766666666666666","46.28333333333333","43.06666666666667","0","0","0","0","0","0","0","0","34.10625"
"48","11","9.142857551574707","88","12.15","0","21.916666666666668","21.166666666666668","15.316666666666666","0","18.216666666666665","0","0","0","0","0","0","0","0","0","17.753333333333334"
"49","11","9.619047164916992","93","45.88333333333333","31.683333333333334","72.16666666666667","37.88333333333333","73.33333333333333","38.53333333333333","1352.2166666666667","68.78333333333333","0","0","0","0","0","0","0","0","215.06041666666667"
