"ID","num_logins","days_no_activities","act_per_day","num_online_meetings","due_1A","due_1B","due_2_1A","due_2_1B","due_2_2A","due_2_2B","due_3A","due_3B","due_4A","due_4B","due_5A","due_5B","due_6A","due_6B","due_7A","due_7B","avg_due","Time Test 1A","Time Test 1B","Time Test 2 Part 1A","Time Test 2 Part 1B","Time Test 2 Part 2A","Time Test 2 Part 2B","Time Test 3A","Time Test 3B","Time Test 4A","Time Test 4B","Time Test 5A","Time Test 5B","Time Test 6A","Time Test 6B","Time Test 7A","Time Test 7B","avg_time_test"
"14","17","6","10.714285850524902","4","2","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","2.0","35.083333333333336","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35.083333333333336"
"15","15","5","10.357142448425293","1","4","4","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","4.0","20.916666666666668","9.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.083333333333334"
"16","26","5","17.0","2","3","3","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","3.0","19.066666666666666","22.183333333333334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.625"
"17","21","5","11.928571701049805","1","4","4","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","4.0","17.233333333333334","543.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","280.39166666666665"
"18","10","7","10.642857551574707","0","2","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","1.5","101.28333333333333","16.916666666666668","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.1"
"19","18","5","19.071428298950195","8","2","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","2.0","33.93333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.93333333333333"
"20","17","7","10.928571701049805","5","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","1.0","52.35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52.35"
"21","10","9","11.0","0","1","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","1.0","20.633333333333333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.633333333333333"
"22","22","3","13.357142448425293","3","4","4","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","4.0","16.666666666666668","33.166666666666664","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.916666666666664"
"23","17","4","12.785714149475098","2","2","2","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","2.0","25.316666666666666","10.016666666666667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17.666666666666668"
