ID	ASR#1 Time	ASR#2A Time	ASR#2B Time	ASR#2C Time	ASR#3 Time	ASR#4 Time	ASR#5 Time	ASR#6 Time	ASR#7A Time	ASR#7B Time	Test#1B TakenTime	Test#2 Part#1B TakenTime	Test#2 Part#2B TakenTime	Test#3B TakenTime	Test#4B TakenTime	Test#5B TakenTime	Test#6B TakenTime	Test#7B TakenTime	Number of late ASR	Number of ASRs	Number of Test B	Number of optinal assignments	Mid-Term Survey Time	End-Term Survey Time	Information Survey Time	Final A Time
32	4	1	1	1	2	4	7	3	2	2	0	0	0	0	0	0	0	0	1	10	1	0	6	6	4	64
33	5	1	2	3	3	4	2	3	3	3	3	3	4	4	4	2	4	4	1	10	8	0	5	6	9	97
34	16	1	5	2	3	3	2	3	1	1	0	0	0	0	0	0	0	0	1	10	0	0	1	6	5	110
35	4	1	3	3	3	4	2	3	2	2	0	0	4	0	0	0	4	0	1	10	2	0	7	7	4	70
36	4	1	3	2	2	3	3	5	2	2	0	4	4	31	20	17	11	4	4	10	7	0	0	10	3	66
37	4	2	3	3	5	18	5	7	4	4	4	12	5	4	0	4	4	4	2	10	7	0	14	9	6	66
38	3	2	5	1	2	5	2	2	2	2	4	3	3	4	4	2	2	2	1	10	8	0	2	2	7	115
39	2	1	2	1	2	2	1	2	2	2	2	3	0	4	0	3	0	0	1	10	4	0	6	0	4	66
40	3	0	3	2	4	4	0	4	2	2	0	0	2	3	0	0	0	1	0	10	5	0	7	4	4	63
41	1	1	2	1	1	1	4	2	8	8	3	0	0	3	3	3	3	4	0	10	6	0	2	0	2	99
42	18	1	1	1	2	3	1	3	2	2	4	4	46	0	0	0	11	4	1	10	5	0	0	13	10	58
43	5	2	3	3	4	4	2	4	1	1	0	0	0	3	0	0	0	0	1	10	1	0	5	7	0	56
44	8	3	7	2	0	3	3	4	0	0	4	4	4	4	4	4	4	4	1	10	8	0	8	15	4	98
45	6	1	5	2	9	6	3	3	2	2	4	4	4	0	0	4	0	0	1	10	4	0	14	12	4	0
46	3	1	6	3	4	10	3	5	2	2	3	4	4	4	3	3	4	0	1	10	8	6	12	5	9	121
47	2	1	3	0	4	6	3	3	3	3	0	1	0	0	1	0	0	1	1	10	3	0	7	5	7	53
48	3	1	6	11	3	6	3	5	4	4	1	3	2	4	4	4	2	2	1	10	8	0	8	0	4	72
49	2	1	2	2	2	11	5	5	5	5	4	0	5	5	5	4	4	0	1	10	6	0	9	8	5	87
50	1	1	0	2	1	3	1	2	2	2	4	4	4	4	5	4	4	4	1	10	8	0	6	12	7	58
51	3	1	2	2	6	4	3	2	2	2	2	3	0	0	4	4	0	0	0	10	4	0	10	0	7	109
52	4	1	52	3	4	9	2	6	2	2	4	3	4	4	0	3	3	0	1	10	6	0	13	33	7	103
53	5	1	1	2	2	3	2	2	1	1	4	4	0	0	0	0	0	0	1	10	2	0	2	0	9	102
54	18	3	8	5	9	10	4	7	3	3	3	3	3	3	0	0	3	0	1	10	5	0	30	0	8	0
55	5	2	6	1	7	12	5	6	8	8	0	0	3	0	0	0	0	0	1	10	1	0	18	15	6	97
56	5	1	2	3	6	12	0	4	6	6	3	4	3	2	0	3	0	0	0	10	5	0	8	0	5	160
57	2	1	1	2	2	0	1	2	0	0	0	0	0	0	0	0	0	0	1	10	0	0	1	9	4	100
58	1	1	1	2	2	4	1	2	1	1	2	4	0	4	4	4	0	0	1	10	5	0	6	7	6	81
59	4	1	2	1	1	4	1	2	1	1	4	0	0	4	4	4	0	0	2	10	4	0	0	0	4	83
60	7	2	7	6	11	8	7	6	5	5	0	0	2	2	2	4	2	3	1	10	6	4	5	8	6	91
61	3	1	3	2	2	4	1	3	2	2	4	4	4	2	4	4	4	4	1	10	8	0	9	0	7	146
62	5	1	3	2	3	4	2	3	2	2	2	3	0	4	4	4	2	2	1	10	7	0	7	0	4	81
63	7	2	6	4	5	7	2	5	3	3	0	0	0	3	0	0	0	0	1	10	1	0	0	15	14	0
64	12	1	83	5	2	3	1	2	1	1	3	11	0	4	0	5	4	0	1	10	5	0	6	7	4	76
65	3	1	1	1	2	2	1	1	1	1	9	6	5	8	6	4	4	4	5	10	8	0	3	0	11	0
66	3	2	3	52	2	2	12	2	2	2	0	0	0	0	0	0	0	0	0	10	0	0	12	0	8	120
67	4	1	3	2	3	5	2	2	2	2	2	0	3	2	2	2	2	1	1	10	8	0	3	0	4	93
68	2	1	2	2	2	3	2	3	3	3	0	4	0	0	0	0	0	2	0	10	6	0	0	9	3	53
69	2	0	2	1	1	3	1	2	1	1	0	0	0	3	0	0	0	0	1	10	1	0	5	0	3	73
70	4	1	2	2	3	4	7	3	4	4	3	3	2	2	3	4	3	0	1	10	7	0	8	0	5	80
71	4	1	5	5	3	6	6	5	4	4	0	0	0	0	0	0	0	0	1	10	0	0	0	5	3	94
72	2	1	2	2	2	3	19	2	0	0	4	0	10	23	19	17	11	0	4	10	6	0	0	0	4	0
73	3	1	2	1	3	3	1	3	1	1	3	4	4	4	4	4	0	0	1	10	6	0	0	7	4	0
74	5	4	9	8	10	17	6	9	5	5	2	1	0	0	0	0	0	0	1	10	2	0	8	0	8	142
75	2	2	2	1	2	2	1	2	2	2	0	1	0	0	0	0	0	0	1	10	8	0	6	6	3	44
76	4	2	6	3	6	8	0	0	0	0	10	6	11	11	11	0	0	0	5	6	5	0	0	0	5	0
77	2	1	2	1	2	2	1	2	1	1	60	53	4	39	25	0	11	0	1	10	6	0	0	0	3	89
78	2	1	3	2	2	2	2	3	2	2	2	3	3	3	3	2	1	2	1	10	8	0	3	4	4	59
79	5	1	4	3	4	6	4	7	4	4	3	4	4	4	4	0	4	4	1	10	7	0	2	8	5	111
80	2	1	1	2	1	6	1	1	1	1	0	0	0	0	4	0	0	0	1	10	1	0	0	5	3	56
81	4	2	5	3	12	8	6	5	4	4	1	3	3	4	4	4	3	0	1	10	8	0	5	7	4	79
82	2	2	2	7	3	5	3	10	3	3	4	1	1	3	3	4	1	2	1	10	8	0	7	0	8	68
83	4	1	3	9	6	3	3	2	1	1	0	3	0	3	3	3	0	3	1	10	5	0	4	3	4	77
84	8	2	6	3	11	14	15	0	0	0	4	8	11	11	11	10	0	0	3	7	6	0	6	0	8	0
85	4	1	3	2	3	4	2	2	2	2	1	1	3	2	3	5	1	4	1	10	8	0	3	4	4	128
86	2	1	3	1	2	3	1	4	1	1	3	0	0	0	0	4	0	4	1	10	3	0	6	7	4	57
87	2	0	1	2	1	2	1	2	2	2	4	0	4	4	4	4	4	4	1	10	7	0	0	0	6	70
88	2	1	1	2	2	2	1	4	1	1	4	4	4	4	0	1	0	0	1	10	5	0	7	0	4	78
89	4	2	10	4	3	8	2	8	3	3	0	8	3	0	4	0	0	1	1	10	4	0	4	0	3	0
90	3	1	3	2	3	4	3	2	2	2	3	9	0	4	0	3	0	3	1	10	5	0	10	4	4	132
91	4	1	4	3	10	8	1	0	3	3	4	0	0	0	4	0	0	0	1	10	2	0	0	12	6	159
92	4	1	3	2	3	8	3	22	4	4	0	0	0	0	0	3	0	0	1	10	1	0	8	0	5	147
93	2	1	2	1	1	3	2	2	2	2	3	3	3	3	3	4	4	4	1	10	8	0	6	5	4	59
94	2	0	2	1	2	2	2	1	1	1	3	4	3	4	4	4	3	0	1	10	7	0	7	8	6	0
95	20	6	12	4	9	19	6	14	3	3	0	4	0	2	0	0	0	4	1	10	3	0	20	14	7	166
96	13	2	8	5	8	15	6	46	5	5	4	4	3	4	7	7	6	4	3	10	8	0	0	15	18	144
97	2	1	3	3	5	2	7	1	2	2	1	1	0	1	0	0	0	0	0	10	8	0	3	0	4	46
98	20	2	21	5	11	13	3	5	3	3	2	0	0	3	4	0	2	4	1	10	5	0	5	5	4	108
99	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0
100	3	1	3	2	4	8	3	4	3	3	0	0	1	0	0	1	2	0	0	10	8	0	0	6	5	61
101	11	1	10	5	9	9	4	5	4	4	3	4	0	0	4	4	4	4	1	10	6	0	0	0	4	75
102	5	0	2	1	3	6	2	3	1	1	0	0	0	0	0	0	0	0	1	10	0	0	6	0	6	76
103	4	1	1	2	4	5	2	4	4	4	1	3	4	4	3	8	3	4	0	10	8	0	2	8	7	166
104	1	1	1	0	2	2	2	1	1	1	9	6	0	12	0	9	6	0	2	10	5	0	0	8	2	96
105	6	1	4	2	4	12	3	4	5	5	1	1	0	2	1	0	0	0	1	10	8	0	3	0	5	127
106	3	1	3	2	2	8	2	3	3	3	0	0	0	0	0	0	0	0	1	10	0	0	4	5	5	61
107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
108	3	1	5	4	6	7	4	4	4	4	4	0	5	5	5	0	0	0	1	10	4	0	0	0	6	0
109	6	1	4	4	7	11	5	8	6	6	2	0	2	3	0	0	1	0	1	10	4	0	24	24	10	165
110	1	1	2	1	2	4	2	3	2	2	2	3	2	2	2	1	0	1	1	10	8	0	6	5	5	79
